0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:50 -0300] "GET /jyaa_2016_grupo06_final/faces/js/plugins/morris/raphael.min.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:50 -0300] "GET /jyaa_2016_grupo06_final/faces/js/plugins/morris/morris.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:50 -0300] "GET /jyaa_2016_grupo06_final/faces/js/plugins/morris/morris-data.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:53 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginAdmin/admin_listaActividades.xhtml HTTP/1.1" 200 43711
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:53 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:53 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:53 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:53 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:53 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:53 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:53 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginAdmin/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:53 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginAdmin/js/jquery.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:53 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginAdmin/js/jquery.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:57 -0300] "GET /jyaa_2016_grupo06_final/faces/CerrarSesion HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:57 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/index.xhtml HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:57 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/css/estilo.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:57 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:57 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/css/bootstrap-responsive.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:57 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:57 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/css/bootstrap-responsive.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:57 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/css/estilo.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:57 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/js/jquery.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:57 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/js/jquery.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:10:57 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:14:58 -0300] "POST /jyaa_2016_grupo06_final/faces/Login HTTP/1.1" 200 6806
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:14:58 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:14:58 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:14:58 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:14:58 -0300] "GET /jyaa_2016_grupo06_final/faces/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:14:58 -0300] "GET /jyaa_2016_grupo06_final/faces/js/plugins/morris/raphael.min.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:14:58 -0300] "GET /jyaa_2016_grupo06_final/faces/js/plugins/morris/morris.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:14:58 -0300] "GET /jyaa_2016_grupo06_final/faces/js/plugins/morris/morris-data.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:14:58 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:14:58 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:14:58 -0300] "GET /jyaa_2016_grupo06_final/faces/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:14:58 -0300] "GET /jyaa_2016_grupo06_final/faces/js/plugins/morris/raphael.min.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:14:58 -0300] "GET /jyaa_2016_grupo06_final/faces/js/plugins/morris/morris.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:14:58 -0300] "GET /jyaa_2016_grupo06_final/faces/js/plugins/morris/morris-data.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:01 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginUsr/usuario_misRutas.xhtml HTTP/1.1" 200 28099
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:01 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:01 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:01 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:01 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:01 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:01 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:02 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginUsr/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:02 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:02 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginUsr/js/jquery.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:02 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginUsr/js/jquery.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:41 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginUsr/usuario_busquedaRuta.xhtml HTTP/1.1" 200 38347
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:41 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:41 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:41 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:41 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:41 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginUsr/changeButton.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:41 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:41 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:41 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginUsr/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:41 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:41 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginUsr/js/jquery.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:41 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginUsr/js/jquery.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:41 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/images/ui-icons_333333_256x240.png?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:43 -0300] "GET /jyaa_2016_grupo06_final/rest/rutas/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:46 -0300] "POST /jyaa_2016_grupo06_final/faces/LoginUsr/usuario_busquedaRuta.xhtml HTTP/1.1" 200 38347
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:46 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:46 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:46 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:46 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:46 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginUsr/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:46 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:46 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:46 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginUsr/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:46 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:46 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginUsr/js/jquery.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:47 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginUsr/js/jquery.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:47 -0300] "GET /jyaa_2016_grupo06_final/rest/rutas/1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:51 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginUsr/usuario_misRutas.xhtml HTTP/1.1" 200 28099
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:51 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:51 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:51 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:51 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:51 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:51 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:51 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginUsr/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:51 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginUsr/js/jquery.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:51 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jsf.js?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:51 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginUsr/js/jquery.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:54 -0300] "POST /jyaa_2016_grupo06_final/faces/LoginUsr/usuario_misRutas.xhtml HTTP/1.1" 500 62653
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:15:54 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
