0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:43 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:43 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:46 -0300] "GET /jyaa_2016_grupo06_final/faces/usuario_perfil.xhtml HTTP/1.1" 200 8600
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:46 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:46 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:46 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:46 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:46 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:52 -0300] "GET /jyaa_2016_grupo06_final/faces/usuario.xhtml HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:52 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:52 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:52 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:52 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:52 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1074
